words,label
"karena sebab itu , mereka berdua selalu dipuji guru dan orang tuanya",indonesia
ibu tuti sedang mengajar di tk,indonesia
siapa yang mengasuh mira sekarang ?,indonesia
"masa kupi gawoh , dipa juwadahni",lampung
ada tamu di kantor,indonesia
selakkung berangkat sekula ya salaman pai jama ayah ibuni seghanta ngucapko salam,lampung
alhamdulillah kata komariyah sambil melompat-lompat karena senangnya melihat nilai rapornya,indonesia
"pak , kunpa puskam mulang ?",lampung
selain itu hamba dapat bermain bersenda gurau dengan teman-teman hamba di dusun itu,indonesia
api niku galak suda ?,lampung
sekolah kita,indonesia
nama raden intan diabadikan di perguruan tinggi islam yang ada di bandar lampung ialah iain raden intan,indonesia
gughu-gughuni geghing jama ia,lampung
geral sekelik ku burhan,lampung
niku dapok makai taksi,lampung
saya sudah wudlu di rumah,indonesia
buku dibaca tono,lampung
"apa yang bisa saya bantu , tuan ?",indonesia
jawabnya ialah raden kepaghat,indonesia
aryan berteman dengan eri,indonesia
tegar dijuluki pak ogah karena ia sering meminta duit dengan temannya,indonesia
akibat kekejeman raja jama patih ni hina ghakyat semakin sengsagha,lampung
nenekku namanya syamsiah,indonesia
"payu lah , teghima kasih",lampung
wiper mobilnya rusak,indonesia
"ali bertemu alif katanya , sedang apa kau lif ?",indonesia
saya masih tidak mengerti,indonesia
assalamualaikum,indonesia
amun tuan haga mit san sikam dacok ngattakko tuan,lampung
apak ni markir mubil ni di pok parkir,lampung
sedang menghitung buah dakon,indonesia
nyaik haga miwang,lampung
ngembija debingi,lampung
"permisi bu , saya mau mengambil buku !",indonesia
"jangan heran kamu dengan saya , saya orangnya memang seperti ini",indonesia
neram dapok belelok di wai panas,lampung
sebagai mughid dang nighu kelakuan lames,lampung
kucing hina pedom,lampung
saya berdagang,indonesia
"bawa kesini , timah ! suruh haji yusuf",indonesia
dia berambut cokelat,indonesia
kita yth mestinya menjaga persatuan dan kesatuan,indonesia
saya akan datang setelah pulang sekolah,indonesia
"di daerah ranau , kalau dari bandar lampung tujuh jam naik mobil umum dari rajabasa",indonesia
ya saya punya keluarga di sini,indonesia
tijang pungu sina kerjaan tilarang,lampung
dia berkumis,indonesia
saya mau daftar sekolah,indonesia
dia muda,indonesia
"seghadu gham baca prosa panen jagung , tegolong wacana jenis deskripsi",lampung
betan subing behasil patiko musuhni seghadu ya mandayi kelemahan musuhni,lampung
ghupani deghian ghadu mesak di puhun,lampung
pemerintah memberikan beasiswa bagi siswa berprestasi,indonesia
saya ditanya kepala sekolah karena kemarin izin,indonesia
pemandangan alamnya enak dilihat mata,indonesia
ariyanto bercanda dengan ervan,indonesia
engkau yang dipanggil tidak menyahut mengapa,indonesia
"kinanti bertemu riyanti katanya , sebentar riyanti tunggu saya !",indonesia
jemoh neram berangkat dawah,lampung
berapa baju putih yang ada di kotak nomor dua ?,indonesia
"sikam aden jama ibu , pak",lampung
mereka pergi ke sekolah,indonesia
sai seneng di waktu panen yalah para petani,lampung
gham lapah sekula cacak sepida,lampung
saya tinggal di lampung,indonesia
niku harus nayah ngehaman,lampung
niku ghadu selamat jak celaka,lampung
nyak haga wawancara kerja,lampung
berapa harga suku cadangnya ?,indonesia
setelah kita membaca wacana prosa narasi di atas isinya tentang perjuangan pahlawan,indonesia
kenapa jagung nya pak haji yusuf besar-besar dan panjang-panjang ?,indonesia
api pusikam haga nginum ?,lampung
kita mau menghadapi ujian sekolah belajar di rumah,indonesia
saya muter-muter dulu mencari lokasinya,indonesia
bapakni bedagang,lampung
"budi ngangkat pungu seghanta cawa , pak permisi hikam haga mit depan",lampung
anak perusahaan ni lamon,lampung
tiyan lapah mit sekula,lampung
setiap desa harus mempunyai langgar,indonesia
saya punya asuransi,indonesia
kira-kira sejam jak ja,lampung
saya perlu belajar untuk ujian,indonesia
"terima kasih pak , kata pak sulaiman ayahnya komariyah",indonesia
dari sini anda harus ke sebelah timur,indonesia
mati senengni para petani waktu panen jagung,lampung
ayah mengusir burung di sawah,indonesia
ayok kuruk,lampung
keretani bisni sayuk,lampung
apa guna kita hidup tak ada kehendak,indonesia
pigha kawai cakelat sai wat di kutak nomogh siwa ?,lampung
saya belum minum obat,indonesia
tuntutlah ilmu jak ayunan tigoh liang lahat,lampung
istirahat tandanya bel berbunyi,indonesia
perusahaan sekam lagi ngenerima lamon orderan,lampung
apakah hanya buka di hari libur ?,indonesia
saya kesana nanti sore,indonesia
saya sedang memotong kangkung,indonesia
"punyimbang-punyimbang adat kughuk sesat , tiyan ghumpok haga bumusyawarah",lampung
perasaan ketika lapah-lapah mit kota yalah gembira dan mak ghabai,lampung
api nilai ulanganku helau ?,lampung
"ada sisik bukan ikan , berpayung bukan raja , apa itu ? nanas",indonesia
anda tahu dokter terbaik di sini ?,indonesia
sapa gelagh ghik-mu hina ?,lampung
kasih sayang bunda ibaghat sughya,lampung
dipa pok mu ngehalu penyapu sina ?,lampung
pigha kawai sekula sai wat di kutak nomogh pitu ?,lampung
tidak begitu baik,indonesia
haga ngabeli api tuti ?,lampung
"bapak susah , ibu ikut susah",indonesia
saya berasal dari lampung,indonesia
dari tadi adik menangis minta mobil-mobilan,indonesia
kita sholat 5 waktu di masjid,indonesia
dia ramah,indonesia
mengapa rumah itu sengaja dipagar ?,indonesia
tiyan haga nulung,lampung
di dipa rang ngebeli minuman,lampung
gham peghlu mengan ghik nginum,lampung
pira rega nua na ?,lampung
"puskam gaoh sai nyampaiko sambutan , cawa ketua punyimbang jama wakil ni",lampung
ada latihan pramuka,indonesia
"setelah pulang dari sekolah , saya membantu orang tua di rumah",indonesia
apikah adu ditangani sanak sai bolos ?,lampung
tempat kepala sekolah dan gurunya ada satu,indonesia
mak api-api,lampung
wat kegiatan uks,lampung
bawakna kuning langsat,lampung
saya punya banyak uang,indonesia
uwat sai haga ku kerjako di kantor,lampung
tiyan belajar ngaji,lampung
apakah saya sudah bicara dengan betul ?,indonesia
"apikah ketti ngemik kanian , ikam haga ngilu pai",lampung
saya membawa teman untuk belajar bahasa lampung,indonesia
dia berkulit kuning langsat,indonesia
sehari-harinya hanya duduk-duduk saja,indonesia
guwai api gham ngebaca buku ?,lampung
nanti siang	,indonesia
bingi ji emak ghik bak tiundang pengajian,lampung
tempat itu berada di antara jalan melati dan flamboyan,indonesia
hikam ngeni pandai jama kuti ghumpok,lampung
api bahayani ki gham ngelanggar tanda-tanda lalu lintas ?,lampung
saya tidak masuk sekolah kemarin,indonesia
maaf nyak wek urusan pai,lampung
sebelum berangkat sekolah dia bersalaman dulu sama ayah ibunya sambil mengucapkan salam,indonesia
kakek sedang mendirikan gubuk di dekat sungai,indonesia
celana sai ghadu kena pilok sina mak dapok tilebonkon lagi,lampung
acarani helau,lampung
istilah baghih turis yalah wisatawan,lampung
dia berkulit hitam,indonesia
kendaraan yang ada di lautan ialah kapal api,indonesia
kepala sekula mimpin rapat,lampung
kanah neram singgah ngebeli cenderamata,lampung
apa nama depan anda ?,indonesia
jam berapa sekarang ?,indonesia
"di bulan desember , kota suci itu dilanda musim dingin",indonesia
"pak , sikinduwa haga mit luwah seghebok gawoh",lampung
saya minta uangnya dikembalikan,indonesia
disana kita bisa pakai taxi,indonesia
ya sekitar dua puluh derajat,indonesia
mati senengni hati hikam di pekon ghik hikam sina,lampung
ani tulung akukko wai sina,lampung
nyak haghep kuti dapok ghatong jumat pagi ya,lampung
"adi tungga adikni , mit dipa niku ?",lampung
di rt 1 kampung baghu,lampung
nyak haga mit kantogh,lampung
"bu harmi mit lamban mira , ghangukni kenebok",lampung
waktu upacara pembukaan sudah mulai saudara dari jakarta dan gubernur dengan bupati dan wali kota didalam propinsi lampung,indonesia
nyak haga nitipko qurban di mesjid sinji,lampung
maaf saya ada urusan dulu,indonesia
sudah sering,indonesia
dipa pok mu ganta ?,lampung
neram mik dudi lapah cukut,lampung
dapatkah anda menolong saya ?,indonesia
maaf saya tidak biasa memakan itu,indonesia
buku dibaca hasan,indonesia
kemarin malam saya lembur di kantor,indonesia
anak-anak di sekolah ku pandai-pandai,indonesia
ya ampai kelas sai,lampung
api akibatni seghadu raja mungut pajak sai ngebiyak-ko ghakyat ?,lampung
baghang sai adu jak gham pakai tisaponi di gudang,lampung
cerita yang temanya kepahlawanan atau cerita tokoh-tokoh pahlawan disebut epos,indonesia
"di setijang ghang laya dipasangko tanda lalu lintas , cuntohni dipasangi lampu pengatogh lalu lintas",lampung
saya lebih suka tinggal di kampung,indonesia
"hamba dapat makan buah-buahan seperti mangga , rambutan , durian sepuas-puasnya",indonesia
ban mubil ku kepet,lampung
lapah ayah,lampung
dapok kudo nyak kelajaghan di ya ?,lampung
yu sikam kak radu bubetik tapi cerai,lampung
yang jadi tikus pergi melingkari bertepuk-tepuk sambil mengucapkan kucing-kucing buta,indonesia
"badri , nyak mulang pai yu",lampung
kik adu ticawakon dang diulanggi lagi yu,lampung
"wah saya belum , kemarin saya tidak sekolah",indonesia
bapak dari mana ?,indonesia
sapa gelagh adikni lukman ?,lampung
"pak , sapa sai ngejadi pembina upacagha di ghani senin hinji ?",lampung
saya senang betul,indonesia
berapakah berat badan anda ?,indonesia
boleh saya ajak istri saya ?,indonesia
ghepa laju kudo gham latihan vokal grup kanah debi ?,lampung
"kuti haghus rajin belajar ya sanak-sanak , cawa pak guru",lampung
sapa sai nulung haji yusuf nanom jagung ?,lampung
ibu sedang memberi garam sayur santan,indonesia
"wacana anak yang baik tergolong prosa narasi , didalamnya ada hal-hal seperti dibawah ini , yang bukan ialah contoh-contoh",indonesia
saya membeli baju di toko,indonesia
ibu memasak di dapur,indonesia
yang tingkahnya tidak jujur,indonesia
sanggup kah kamu belajar lebih baik ?,indonesia
puskam ayah haga mit dipa,lampung
kami sering berlatih berenang,indonesia
gajih ku balak benor,lampung
pigha siswa kelas 2 hinji ?,lampung
karen apa dia berusaha gigih melawan penindasan penjajah belanda ?,indonesia
saya mau pekerjaan yang gajinya besar,indonesia
"ini terlalu mahal , saya mau yang lebih murah",indonesia
pandai kodo niku ngendandan mubil ku ?,lampung
"karena sikap raja yang seperti itu , banyak rakyat tidak tahan tinggal di kerajaan itu",indonesia
bagaimana jadi ga kita latihan pramuka hari ini ?,indonesia
kebun sija jak hulun barih,lampung
anak-anak nya sudah besar-besar tapi semua nya tidak ada yang mengerti dengan pekerjaan di rumah,indonesia
"pagi nihan kak minjak jak pedom seghadu sholat subuh laju mit dapur nyiapko kakan , ngiyau piring gelas",lampung
abang gergaji ina tiulohkon luot di jenganni,lampung
seunyinni mughid ghik gughu nutuk senam pagi,lampung
dia berkumis tipis,indonesia
saya minta sepuluh tusuk sate,indonesia
ambil air pakai mencuci tangan,indonesia
pak amir lagi neghangko pelajaghan wat sai mawat merhatiko,lampung
apakah nilainya bermasalah ?,indonesia
sina munih gughu ghik pegawai musti makai kawai seragam,lampung
apa saja yang akan diujikan ?,indonesia
sikam main kucing buta,lampung
ujiannya besok,indonesia
jadikan dia penghuni surga,indonesia
disan sikam ngeliak macom-macom lahgu liman,lampung
lapah dengiko puisi hinji,lampung
api niku katan ?,lampung
adu bingi nyak haga mulang,lampung
siapa yang mengajari kau membuat pantun ?,indonesia
ya saya sangat suka,indonesia
obatnya diminum dua kali sehari,indonesia
"bu ani bertanya ana , ana mau ke mana kamu ?",indonesia
mak bangik,lampung
sapa si haga ghatong kanah bingi ?,lampung
rasanya mantap,indonesia
ratu sakik,lampung
bagaimana sifat orang itu ?,indonesia
hasin ga mikmis peros lalak,lampung
"peramisi , api bis sija haga hung talang ?",lampung
saya punya satu kakak laki-laki dan satu adik perempuan,indonesia
uangnya masih kurang,indonesia
saya dari belajar,indonesia
niku jak dipa ?,lampung
siapa yang menusuk kucingku,indonesia
kita kumpul di sekolah,indonesia
niku jak dipa ?,lampung
harta dan nyawa siap dipertaruhkan demi membela tanah airnya,indonesia
ibu menggulai ikan,indonesia
"antarkan ayahmu komariyah , kata pak sanusi",indonesia
mak kot sama sekali,lampung
saya mau pergi ke kantor pkk,indonesia
neram kumpul dirang inji,lampung
pengendara motor sebaiknya memakai helm,indonesia
pigha kerugian sai dialami korban gempa ?,lampung
rasa badan ku mak bangik,lampung
dia rajin beribadah belajar dan menolong orang tua,indonesia
ayah membuat sepeda,indonesia
semut senang gula,indonesia
ummi beri saja obat oralit,indonesia
amun ghabai di teghjang ombak dang bulamban di pinggigh pantai,lampung
saya minta satu porsi sate dikukus,indonesia
ibu menuang teh untuk bapak di gelas dari mekkah itu,indonesia
adik miwang ulah keawesan,lampung
maaf tidak ada receh,indonesia
istirahat tandani bel bebunyi,lampung
saya panas dingin,indonesia
setiap pukul empat sore mereka mencari teman-teman buat latihan main bola kaki,indonesia
nyak haga haguk kakus,lampung
tiyan haga lapah ngawil,lampung
geghalni yalah penggilingan,lampung
ibu jak pasagh,lampung
silahkan kuruk,lampung
sapa sai gelagh ni aminah !,lampung
"dia pernah juga di ejek kawan-kawan laki-lakinya , dikatakan mereka banci , karena dia tidak pandai marah dibiarkan saja",indonesia
nyak kilu sai porsi daging sapi tipajak,lampung
menu seimbang disebut pak sihat lima sempurghna,lampung
sambil mereka jalan bapak menceritakan festival ini,indonesia
adin ngejamukko buku bahasa lampungku,lampung
acagha api sai ghesok tiyan tuntun di tv ?,lampung
pak tono pengarang buku cerita,indonesia
"mudah-mudahan mawat pak , timbal komariyah",lampung
hana sedang melekatkan kertas pakai lem,indonesia
"biaya ini buat membeli benur atau bibit udang , makanan umpan , obat , upah kuli dan membeli solar pakai menghidupkan mesin kincir",indonesia
rupanya durian sudah matang di pohon,indonesia
di luku makai api sabah sija ?,lampung
selamat berlibur,indonesia
"di huma wat olai , balak temon !",lampung
siapa yang mencoret-coret buku kakak,indonesia
tiyan ghadu kelas lima,lampung
air putih satu gelas ini pengganjal kelaparan,indonesia
njuk sipa lahgu jelema suda ?,lampung
kami sekarang sedang acara pesta adat di rumah ketua adat,indonesia
paghok dija gawoh,lampung
ganta lakkung tighasa akibatni,lampung
"hisok pehegan mu , luwahkon pehegan mu",lampung
jangan lupa bawa tenda yang cukup besar,indonesia
ada air terjun di way lalaan,indonesia
siapa yang memberi pengarahan sebelum senam ?,indonesia
mati seghom ulah manisan,lampung
prosa umumni buisi ceghita,lampung
keliyakanni lingkungan keluarga sina peghlu gham pahami,lampung
kik lamon kerjaan nyak risok ngelembur,lampung
dia sedang khawatir,indonesia
bekerja belima diri,indonesia
ya kebun ini punya saya,indonesia
kami berjalan di trotoar,indonesia
jam tujuh malam,indonesia
pohon kayu tumbang menpah ayam,indonesia
kik haga kuruk kita dapok beli pai tiket ni,lampung
sija pak tono,lampung
"ngidok nap layin iwa , bepayung layin raja , api sina ? nenas",lampung
"hasan bertemu gurunya , katanya , pak kapan tuan pulang ?",indonesia
ayah betapa kuharapkan,indonesia
teduh ku nyak dapok ngedandana pesai,lampung
gham haga mit huma nyirangi jembatan ayuh,lampung
alat bercocok tanam hinji gelaghni yalah koghet,lampung
mereka berdua bertengkar di pinggir sungai,indonesia
anak-anak yang sudah lulus tamat sd melanjutkan sekolah di dusun lain,indonesia
terlalu asin manis asam pedas,indonesia
nyak gering temun,lampung
ongkosnya mahal	,indonesia
"sohibul bait berkata , kami menyampaikan ucapan terima kasih sama kalian yth , sambil menyalami saudara-saudara nya",indonesia
tanggal berapakah sekarang ?,indonesia
"kakak adik harus saling menyayangi tujuannya mengharapkan hidup rukun dan damai , menyenangkan hati orang tua dan ridho alloh swt",indonesia
apakah anda mau minum sesuatu ?,indonesia
bak api mesin na ?,lampung
"dirasakan sudah cukup dia belajar , ahmad pergi ke dapur dia melihat ibunya sedang memasak",indonesia
bertanya apa caranya supaya dapat mematikan lawan,indonesia
yang tidak ada di lingkungan keluarga ialah teman sejawat,indonesia
apa yang ada di kandang itu ?,indonesia
"anak-anak , kalian harus belajar rajin , ya ! kata guru",indonesia
jangan lupa ke sini lagi,indonesia
ki ya benogh mesti sanak sina si ngeganti ya jadi kucing buta,lampung
anakni sai tuha begeghal lukman,lampung
sanak-sanak si ghadu lulus tamat sd ngelanjutkon sekula di pekon baghih,lampung
lima menit lagi,indonesia
ini ada lima kaus kaki putih,indonesia
kak mulok,lampung
nama depan saya ali,indonesia
kalimat mana tidak sesuai dengan wacana pahlawan raden intan ?,indonesia
sampai di rumah komariyah dibelikan ayahnya buku dan tas baru hadiah dari ayah dan ibunya,indonesia
miliki sifat jujur sina,lampung
nanti malam	,indonesia
ibu ngekuk mei di dapugh,lampung
beliyau keghja jak pagi tigoh debi,lampung
negara melindungi hak-hak setiap warganya,indonesia
"bos , pegawai , pegawai biasa , pegawai tetap saunyinni wat di kantogh",lampung
ari berteman dengan arif,indonesia
njuk sipa pelajaran buhasa lampung na ?,lampung
kedau muni waktu sai diperelukonmu ?,lampung
nyaik haga lapah,lampung
"raja dan patih nya sama-sama sakti tetapi punya perangai kejam , bengis , gampang mematikan orang yang tidak ikut perintah raja",indonesia
hati ku lagi kantang,lampung
selamat pagi amin,lampung
ali lapah mit sekula,lampung
berapa nilai pantunmu tadi ?,indonesia
saya belum kerja saya masih sekolah,indonesia
pengatar turis asing memberi penjelasan dengan bahasa turis asing itu disebut guide,indonesia
geluk ya kughuk kelas nyalami pak sanusi,lampung
tarian adat lampung yang berasal dari daerah labuhan maringgai ialah tari melinting,indonesia
makan dan minum,indonesia
niku sekula kelas pira ?,lampung
paman sedang tidur,indonesia
ia wat jangguk,lampung
sanak sai males,lampung
kerbau suka rumput,indonesia
penggaghis hinji meccong,lampung
rangni helau,lampung
setelah selesai berdandan ia bercermin,indonesia
"faisal , tadi sore kamu mau ke mana ?",indonesia
berapa jam lamanya berpergian dari bandar lampung ke danau ranau ?,indonesia
niku dang galak pisu laga di sekula,lampung
ada juga kakek dan nenek,indonesia
kedau muni nyak haga ngehaman ?,lampung
yu nyak wat duit,lampung
siapa yang menang bertanding tadi ?,indonesia
api kidah gham lapah ngawil kanah debi ?,lampung
apa pekerjaan anda ?,indonesia
"ali cawa jama ayahni , ayah , hikam haga sekula salamlikum",lampung
di lampung tengah ada taman way kambas,indonesia
ke sebelah sini,indonesia
amun gham dengi lom sepekan wat 7 ghani,lampung
"ada pantun yang sedih , pantun nasihat , ada juga yang lainnya",indonesia
husin murid yang rajin dan tekun setelah itu baru dari kelas 1 dia selalu mendapat rangking pertama,indonesia
pikha ngempuluh deghian sai dapok di sepok tiyan ?,lampung
diadakan senam pagi ini kesemua anak dan guru sehat badannya sama bersih pikiran nya,indonesia
bangunan yang sering dipakai untuk musyawarah disebut sesat agung,indonesia
anak dua kalau diperhatikan hampir setiap pertandingan,indonesia
apakah saya harus menemui anda lagi dokter ?,indonesia
paman menebang batang pisang itu memakai golok,indonesia
tulung cawakon sakik na,lampung
sapa gelaghni sanak sai dilom cerita sinji ?,lampung
dibajak dengan apa sawah ini ?,indonesia
alat bercocok tanam ini namanya ialah cangkul kecil,indonesia
benda apa ini ?,indonesia
mukhid ni lamon,lampung
api niku dibayar mingguan atawa bulanan ?,lampung
yu sikam kak radu bubetik,lampung
"nama ayahnya raden imba , seorang raja gagah perkasa",indonesia
upacara adat kughuk meghanai ghadu dilaksanaken beghebei,lampung
kerja bapaknya amir berdagang,indonesia
mak kot,lampung
"dudi nayah munih tanoman sai bagheh tanoman gagulaian , kacang kacangan ghik jagung",lampung
mengan sija cukup bangik,lampung
"pegawai honorer , pegawai swasta , buruh , pesuruh semuanya ada di kantor",indonesia
ya ngedok mubil truk puso ghuwa,lampung
sikam kelas  4a,lampung
segok ko pai mainan ni !,lampung
tegar tiurau pak ogah ulih ya ngilu duit jama kancani,lampung
penyapu ina keghejungan ditetok gawoh,lampung
sebaghih sina hikam dapok bemain besenda gurau jama ghik-ghik hikam di pekon sina,lampung
sapa sai magas kucingku,lampung
api caha nyin badan gham sehat ?,lampung
di sebelah sana,indonesia
setiap hari minggu ramai yang datang mau menonton tingkah gajah itu,indonesia
neram jemoh haga kemping,lampung
nyak wat sejuta,lampung
"pak , hamba sekolah dulu ya",indonesia
"hai ali , saya baik-baik saja mau ke mana kau ?",indonesia
hasan dan husin kembali ke kamar mereka,indonesia
silako kuti ghumpok nikmati hidangan sai ghadu disediako hinji,lampung
ari bekawan jama arif,lampung
kesaka tiyan bulatih main sepak bal ?,lampung
sikam mengan suwa iwa,lampung
saya tidak menyangka kalo engkau seperti itu,indonesia
saya punya banyak kerjaan minggu ini,indonesia
"pak , hamba mau ke belakang",indonesia
"dijawohi ghik , miyanak famili",lampung
dimanakah kantor pos terdekat sekitar sini ?,indonesia
ke mana mereka pagi ini ?,indonesia
jam berapa bukanya ?,indonesia
saya merasa lemah,indonesia
burung terbang,indonesia
di lom bacaan prosa deskripsi tentang lingkungan keluarga kata sai makai huruf yalah,lampung
"anak perempuan dan anak laki-laki diwajibkan bertopi , berdasi sepatu hitam , kaus kaki putih",indonesia
"unyinni dikeghjako ayah sai mak dikeghjako ayah yalah nyiapko kanan , ngiyau piring gelas mepoh kawai",lampung
apikah gitoh dapok tilebonkon jama oli ?,lampung
teghhadep raden intan pemeghintah ngeni gelagh api ?,lampung
setiap hari kita makan tiga kali,indonesia
niku harus beli buku nenggalan,lampung
lamban ni di cet hujau,lampung
puskam haga mit dipa pak,lampung
selamat perai,lampung
pak tono ngeteh,lampung
"pak , kami mendengar ditempat lain ada gerakan kebersihan lingkungan bagaimana di sekolah ini ?",indonesia
nyak haga ngembelako rekening ku,lampung
kedau muni niku bekerja ?,lampung
geral tijang ku ali nuhdin,lampung
jam berapa tokonya buka ?,indonesia
di kampung baru,indonesia
baju sija kebalakan,lampung
belajaghlah sehajin-ghajin ni !,lampung
apakah anda punya uang ?,indonesia
"kinanti tungga riyanti cawani , sebeghai riyanti tunggu nyak !",lampung
"geghal ayahni raden imba , sejelma raja gagah perkasa",lampung
tiyan lapah lapah,lampung
rapiko kamar sina ulah haga tipedomi temui jak palembang !,lampung
nyak ngedok asuransi,lampung
"bu , api kegiatan sikam di ghani libur ?",lampung
anak-anak sudah kumpul semua di sekolah,indonesia
nadila tiurau mak lampir ulih ya maghah juga,lampung
nomor telepon saya enam delapan lima tiga enam delapan enam,indonesia
sikam laher tanggal pitu belas,lampung
nyak lain pegawai tetap,lampung
api rega barang sija di kurangi ?,lampung
berapa siswa kelas 2 ini ?,indonesia
jam pira ganta ?,lampung
jenis pare api sai di tanom dija ?,lampung
kapan anda akan sampai ?,indonesia
apa nanti ada ulangan ?,indonesia
bajak lom bahasa lampung ni yalah luku,lampung
dimana tempat membeli makanan,indonesia
sanak-sanak baghis di halunan sekula,lampung
peghanan penghiatan lom peghjuangan ngelawan penjajah lebih penting,lampung
api regana kak tesok pajok na ?,lampung
api gheti ni gizi ?,lampung
begitu juga menurut agama,indonesia
anda punya anak berapa ?,indonesia
gham nuttut ilmue supaya pinter,lampung
saya mau beli seragam,indonesia
apa yang kamu bawa itu ?,indonesia
kakek mengapit payung,indonesia
dimanakah lokasi sekolah sekitar sini ?,indonesia
at sikam mak ngereti,lampung
"kadang-kadang ada kakek dan nenek , ada juga kakak dan adik atau anggota keluarga lainnya",indonesia
semua murid dan guru ikut senam pagi,indonesia
"bu , ita mau ke kelas sebelah saya mau meminjam kamus bahasa lampung",indonesia
dari tanah suci,indonesia
mobil itu rusak,indonesia
kurang bangik,lampung
datuk mak jadi lapah ulih gemuppo haga ujan,lampung
sinalah pengalaman hikam waktu ghani libur,lampung
tidak saya baik-baik saja,indonesia
di neraka tanganmu jadi ular,indonesia
berapa harga bajumu  ?,indonesia
ia basa kuater,lampung
moga-moga dia selamat dalam menunaikan ibadah haji !,indonesia
tiyan ghumpok lagi bumusyawarah jama pihak sabai,lampung
iwa si lunik dilucukko luwot,lampung
sudah tidak dapat yang duduk dihadapan mata melotot nonton orang yang sedang bertanding,indonesia
ku jamukkon dija,lampung
tawok-tawok amir sedong ghamik nyeghita,lampung
abang diughau inak sai nyahuti adek,lampung
ulah sina di hinji puisi,lampung
pigha kerugian korban gempa ?,lampung
haga mit warung koperasi sekula hikam haga beli pulpen,lampung
zuriah pergi ke pondok diantarkan bapak ibunya,indonesia
kanah bingin tiyan haga belajagh,lampung
dimanakah saya dapat membeli makanan minuman ?,indonesia
nenek mau menangis,indonesia
di dipa nyak dapok ngebeli peratong ?,lampung
nyak sakik hulu,lampung
dia gendut,indonesia
disan ghadu wat ghik-ghik sai nenggu,lampung
nyak haga belajagh jama ghikku,lampung
sanusi ngegali tanoh pakai cakul,lampung
sapa gawoh sai geghing jama ya ?,lampung
jagung yang ditanam tiga bulan yang lampau sekarang sudah tua,indonesia
pigha nilai pantunmu jeno ?,lampung
tiyan mak sekula di ghani minggu,lampung
"sayang peghjuangan ni singkat temon , ulah api ?",lampung
tolong ulangi lagi,indonesia
jakpa asal mu ?,lampung
nyak mak mudik nyak di lamban gawoh,lampung
nyak ngehaluna di lidung rangok,lampung
niku dang galak laga di sekula,lampung
sekarang mereka sedang panen jagung,indonesia
apakah ada pertanyaan ?,indonesia
silahko bapak sai ngempimpin sholatni,lampung
saya masih tetap tidak mengerti,indonesia
ini sangat penting,indonesia
"kakek dengan nenek sudah tua tidak berkerja lagi , bapaknya bekerja pegawai negeri",indonesia
nama keluarga saya burhan,indonesia
husin sekolah di sd sudah kelas empat,indonesia
juk sipa ngucapko cawa sija,lampung
dengan murid-murid kelas 1,indonesia
ilham hanjak nihan,lampung
kami mau tidur,indonesia
"pak , kami minta supaya tuan mengomandoi gerakan bersih lingkungan",indonesia
di sekeliling nuwa,lampung
ghadu jadi adat jak jaman saka yakdo adat sakai sambaian,lampung
"di bulan desember , kota suci sina dilanda musim ngison",lampung
api wek pertanyaan ?,lampung
ya nyak gering mani lamon rek,lampung
yang korupsi dan yang manipulasi,indonesia
tidak jauh dari sini,indonesia
pak haji yusuf deghop di pekon,lampung
rangni balak,lampung
"berapa burung , kerbau , itik yang ada di dalam gambar ?",indonesia
keghuwa keluarga sina ghadu buserahan nihan di lom kahwinan anakni,lampung
masjidnya jauh dari sini,indonesia
gedung-gedung bertingkat dan keghamikan kota,lampung
nyak lagi mutili kangkung,lampung
amak haga lapah mit kantogh tasni tisiapkon inak,lampung
jangan ribut ada yang sedang baca al-quran,indonesia
pemungu baju na ketijangan,lampung
haga mit dipa niku ?,lampung
preman sina ngehapak waktu sikam liwat,lampung
nyak haga ngakuk duit,lampung
kemaman nebang batang punti sina pakai candung,lampung
pigha beghakni kulem haji bakri ?,lampung
nua njuk sipa sai haga di hatimu ?,lampung
pak hasan nebang batang sina jama candung,lampung
selamat bersenang-senang,indonesia
nyak kilu sai porsi,lampung
"sekretaris , sopir , teman kantor , rekan kerja semuanya ada di kantor",indonesia
sangat baik,indonesia
dipa kamagh mandini ?,lampung
"makwat , sebenoghni nyak haga kilui tulung ngeghiki nyak mit pasagh",lampung
sai haga ngabeli nganyang ghega barang sai haga dibelini,lampung
tia hobi menulis,indonesia
anak-anak berbaris di halaman sekolah,indonesia
perhatikan tulisan dalam bahasa lampung ini !,indonesia
nyak biasa gawoh,lampung
rakyat semakin sengsara akibat kekejaman raja dan patih nya itu,indonesia
ibu nyigham kembang enggal tukuk,lampung
ayah betapa kudambako,lampung
kuat sekali kedengaran dari sini lagu itu,indonesia
kapan ujian akhirnya ?,indonesia
mughid-mughid setiap mahayu besalaman jama gughu piket,lampung
"ali cawa jama hamid , hamid niku haga nutuk mit pasagh malam ?",lampung
pembatas bidang sawah yang dengan lainnya berupa tumpukan tanah lebih kurang ukurannya jalan setapak ialah tanggul,indonesia
kantor saya dekat dengan rumah kostan,indonesia
"ani cawa jama ana , ani nyak nginjam buku",lampung
nandaku wat lima,lampung
kami belajar sekarang memerlukan hp untuk mencari tugas,indonesia
apa tujuan nya diadakan upacara bendera ?,indonesia
tidak akan lama,indonesia
